iter	Passed	Remaining
896	4320	496
897	4325	491
898	4329	486
899	4334	481
900	4338	476
901	4343	471
902	4348	467
903	4353	462
904	4358	457
905	4363	452
906	4368	447
907	4372	443
908	4378	438
909	4382	433
910	4386	428
911	4393	423
912	4397	419
913	4401	414
914	4406	409
915	4410	404
916	4414	399
917	4418	394
918	4423	389
919	4428	385
920	4433	380
921	4437	375
922	4441	370
923	4446	365
924	4450	360
925	4455	356
926	4459	351
927	4467	346
928	4471	341
929	4477	336
930	4480	332
931	4484	327
932	4489	322
933	4493	317
934	4497	312
935	4501	307
936	4506	302
937	4510	298
938	4514	293
939	4519	288
940	4523	283
941	4528	278
942	4532	273
943	4536	269
944	4541	264
945	4545	259
946	4549	254
947	4553	249
948	4559	245
949	4563	240
950	4568	235
951	4574	230
952	4578	225
953	4582	220
954	4588	216
955	4592	211
956	4597	206
957	4602	201
958	4607	196
959	4612	192
960	4617	187
961	4622	182
962	4626	177
963	4630	172
964	4636	168
965	4641	163
966	4645	158
967	4651	153
968	4656	148
969	4660	144
970	4666	139
971	4670	134
972	4674	129
973	4679	124
974	4683	120
975	4688	115
976	4693	110
977	4697	105
978	4702	100
979	4706	96
980	4710	91
981	4714	86
982	4719	81
983	4723	76
984	4728	72
985	4733	67
986	4737	62
987	4742	57
988	4746	52
989	4750	47
990	4756	43
991	4760	38
992	4765	33
993	4770	28
994	4774	23
995	4778	19
996	4783	14
997	4787	9
998	4792	4
999	4796	0
